ts_code,trade_date,open,close,high,low,vol,amount,pct_chg
300152.SZ,2024-04-10,2.740000,2.580000,2.740000,2.540000,36568606,,-5.494509
300152.SZ,2024-04-11,2.550000,2.600000,2.680000,2.510000,27220534,,0.775193
300152.SZ,2024-04-12,2.320000,2.390000,2.500000,2.260000,66169172,,-8.076916
300152.SZ,2024-04-15,2.300000,2.100000,2.350000,1.960000,70408429,,-12.133899
300152.SZ,2024-04-16,2.100000,1.800000,2.140000,1.770000,57327297,,-14.285713
300152.SZ,2024-04-17,1.850000,2.160000,2.160000,1.850000,33660863,,20.000008
300152.SZ,2024-04-18,2.270000,2.400000,2.460000,2.220000,105386387,,11.111111
300152.SZ,2024-04-19,2.390000,2.270000,2.440000,2.230000,61773756,,-5.416671
300152.SZ,2024-04-22,2.270000,2.190000,2.370000,2.160000,48370300,,-3.524226
300152.SZ,2024-04-23,2.190000,2.190000,2.270000,2.180000,33255800,,0.000000
300152.SZ,2024-04-24,2.190000,2.250000,2.280000,2.190000,35259600,,2.739723
300152.SZ,2024-04-25,2.250000,2.230000,2.310000,2.200000,28936845,,-0.888888
300152.SZ,2024-04-26,2.210000,2.210000,2.230000,2.160000,34547545,,-0.896860
300152.SZ,2024-04-29,2.200000,2.370000,2.470000,2.180000,58985700,,7.239812
300152.SZ,2024-04-30,2.360000,2.290000,2.440000,2.270000,50117300,,-3.375524
300152.SZ,2024-05-06,2.300000,2.270000,2.330000,2.220000,40470100,,-0.873362
300152.SZ,2024-05-07,2.260000,2.320000,2.350000,2.230000,46592598,,2.202641
300152.SZ,2024-05-08,2.320000,2.450000,2.760000,2.250000,85244853,,5.603453
300152.SZ,2024-05-09,2.350000,2.590000,2.660000,2.350000,86280695,,5.714280
300152.SZ,2024-05-10,2.560000,2.480000,2.580000,2.460000,52274534,,-4.247100
300152.SZ,2024-05-13,2.400000,2.310000,2.500000,2.300000,49557329,,-6.854842
300152.SZ,2024-05-14,2.290000,2.320000,2.350000,2.280000,29780718,,0.432900
300152.SZ,2024-05-15,2.320000,2.290000,2.360000,2.270000,24473609,,-1.293102
300152.SZ,2024-05-16,2.280000,2.300000,2.340000,2.270000,22122737,,0.436681
300152.SZ,2024-05-17,2.280000,2.290000,2.300000,2.240000,23472803,,-0.434782
300152.SZ,2024-05-20,2.270000,2.220000,2.280000,2.210000,32082300,,-3.056766
300152.SZ,2024-05-21,2.210000,2.370000,2.450000,2.140000,54468693,,6.756750
300152.SZ,2024-05-22,2.330000,2.310000,2.360000,2.280000,31485378,,-2.531643
300152.SZ,2024-05-23,2.280000,2.230000,2.330000,2.210000,25640600,,-3.463200
300152.SZ,2024-05-24,2.240000,2.180000,2.260000,2.180000,19409300,,-2.242150
300152.SZ,2024-05-27,2.180000,2.180000,2.230000,2.140000,13425334,,0.000000
300152.SZ,2024-05-28,2.180000,2.120000,2.180000,2.100000,18403000,,-2.752302
300152.SZ,2024-05-29,1.700000,1.860000,2.100000,1.700000,65770375,,-12.264146
300152.SZ,2024-05-30,1.830000,1.810000,1.940000,1.770000,39983537,,-2.688176
300152.SZ,2024-05-31,1.800000,1.830000,1.900000,1.780000,26952937,,1.104978
300152.SZ,2024-06-03,1.860000,1.780000,1.880000,1.740000,26674771,,-2.732244
300152.SZ,2024-06-04,1.750000,1.700000,1.780000,1.670000,28777299,,-4.494378
300152.SZ,2024-06-05,1.680000,1.600000,1.690000,1.570000,46053722,,-5.882354
300152.SZ,2024-06-06,1.580000,1.440000,1.600000,1.410000,53574623,,-9.999998
300152.SZ,2024-06-07,1.460000,1.590000,1.620000,1.450000,55358898,,10.416665
300152.SZ,2024-06-11,1.560000,1.570000,1.590000,1.500000,32017866,,-1.257860
300152.SZ,2024-06-12,1.570000,1.670000,1.670000,1.550000,34319700,,6.369420
300152.SZ,2024-06-13,1.710000,1.610000,1.750000,1.600000,29884900,,-3.592811
300152.SZ,2024-06-14,1.610000,1.580000,1.630000,1.560000,17861900,,-1.863352
300152.SZ,2024-06-17,1.580000,1.550000,1.600000,1.540000,15305900,,-1.898740
300152.SZ,2024-06-18,1.560000,1.650000,1.660000,1.540000,31323400,,6.451615
300152.SZ,2024-06-19,1.680000,1.600000,1.700000,1.580000,23314900,,-3.030300
300152.SZ,2024-06-20,1.580000,1.550000,1.600000,1.540000,16567200,,-3.125004
300152.SZ,2024-06-21,1.550000,1.540000,1.610000,1.510000,15121822,,-0.645161
300152.SZ,2024-06-24,1.540000,1.470000,1.550000,1.450000,20941700,,-4.545450
300152.SZ,2024-06-25,1.460000,1.470000,1.510000,1.430000,13977400,,0.000000
300152.SZ,2024-06-26,1.480000,1.530000,1.540000,1.430000,16853080,,4.081629
300152.SZ,2024-06-27,1.560000,1.520000,1.580000,1.510000,16924500,,-0.653594
300152.SZ,2024-06-28,1.500000,1.530000,1.570000,1.500000,13646393,,0.657894
300152.SZ,2024-07-01,1.530000,1.540000,1.550000,1.500000,10826900,,0.653594
300152.SZ,2024-07-02,1.540000,1.610000,1.630000,1.520000,29793748,,4.545458
300152.SZ,2024-07-03,1.590000,1.660000,1.730000,1.580000,42638734,,3.105587
300152.SZ,2024-07-04,1.630000,1.530000,1.650000,1.530000,31728153,,-7.831325
300152.SZ,2024-07-05,1.520000,1.680000,1.770000,1.490000,51305870,,9.803920
300152.SZ,2024-07-08,1.640000,1.610000,1.670000,1.560000,33238500,,-4.166663
300152.SZ,2024-07-09,1.580000,1.580000,1.610000,1.520000,28542322,,-1.863352
300152.SZ,2024-07-10,1.550000,1.530000,1.570000,1.520000,17488826,,-3.164561
300152.SZ,2024-07-11,1.570000,1.610000,1.620000,1.570000,28295227,,5.228761
300152.SZ,2024-07-12,1.600000,1.620000,1.750000,1.590000,34050579,,0.621117
300152.SZ,2024-07-15,1.610000,1.580000,1.620000,1.570000,16632500,,-2.469133
300152.SZ,2024-07-16,1.580000,1.580000,1.600000,1.560000,11474700,,0.000000
300152.SZ,2024-07-17,1.570000,1.550000,1.590000,1.540000,15424700,,-1.898740
300152.SZ,2024-07-18,1.530000,1.550000,1.560000,1.510000,12198741,,0.000000
300152.SZ,2024-07-19,1.550000,1.550000,1.560000,1.520000,11895991,,0.000000
300152.SZ,2024-07-22,1.550000,1.600000,1.610000,1.530000,18163691,,3.225811
300152.SZ,2024-07-23,1.600000,1.590000,1.640000,1.570000,19676300,,-0.624999
300152.SZ,2024-07-24,1.570000,1.560000,1.600000,1.540000,14989700,,-1.886798
300152.SZ,2024-07-25,1.540000,1.570000,1.590000,1.530000,11443200,,0.641033
300152.SZ,2024-07-26,1.590000,1.630000,1.640000,1.590000,23328813,,3.821652
300152.SZ,2024-07-29,1.640000,1.670000,1.680000,1.610000,23688700,,2.453985
300152.SZ,2024-07-30,1.650000,1.800000,2.000000,1.640000,80628441,,7.784431
300152.SZ,2024-07-31,1.730000,2.030000,2.100000,1.730000,95416734,,12.777779
300152.SZ,2024-08-01,1.940000,1.920000,2.010000,1.900000,63773325,,-5.418720
300152.SZ,2024-08-02,1.880000,1.890000,1.940000,1.850000,43692925,,-1.562499
300152.SZ,2024-08-05,1.860000,1.820000,1.890000,1.800000,39760900,,-3.703700
300152.SZ,2024-08-06,1.830000,1.840000,1.870000,1.780000,29305500,,1.098900
300152.SZ,2024-08-07,1.830000,1.780000,1.840000,1.770000,25678700,,-3.260873
300152.SZ,2024-08-08,1.780000,1.850000,1.880000,1.760000,41983603,,3.932587
300152.SZ,2024-08-09,1.840000,1.810000,1.880000,1.800000,30255100,,-2.162167
300152.SZ,2024-08-12,1.880000,1.890000,1.960000,1.860000,57694000,,4.419892
300152.SZ,2024-08-13,1.850000,1.940000,2.000000,1.800000,56228423,,2.645506
300152.SZ,2024-08-14,1.900000,1.900000,1.950000,1.870000,37127966,,-2.061860
300152.SZ,2024-08-15,1.860000,2.000000,2.050000,1.860000,65076465,,5.263159
300152.SZ,2024-08-16,1.990000,1.930000,1.990000,1.920000,39424000,,-3.500003
300152.SZ,2024-08-19,1.900000,1.920000,1.960000,1.860000,26240177,,-0.518134
300152.SZ,2024-08-20,1.920000,1.820000,1.930000,1.810000,29887000,,-5.208328
